ID,Name,Tracks
AL011851,UNNAMED,14,
Date,Time,Record Identifier,Status of System,Latitude,Longitude,Max Sustained Wind [kts],Min Pressure [mbars],34kt extent NE,34kt extent SE,34kt extent SW,34kt extent NW,50kt extent NE,50kt extent SE,50kt extent SW,50kt extent NW,64kt extent NE,64kt extent SE,64kt extent SW,64kt extent NW
18510625,0000,,HU,28.0,-94.8,80,,,,,,,,,,,,,,
18510625,0600,,HU,28.0,-95.4,80,,,,,,,,,,,,,,
18510625,1200,,HU,28.0,-96.0,80,,,,,,,,,,,,,,
18510625,1800,,HU,28.1,-96.5,80,,,,,,,,,,,,,,
18510625,2100,L,HU,28.2,-96.8,80,,,,,,,,,,,,,,
18510626,0000,,HU,28.2,-97.0,70,,,,,,,,,,,,,,
18510626,0600,,TS,28.3,-97.6,60,,,,,,,,,,,,,,
18510626,1200,,TS,28.4,-98.3,60,,,,,,,,,,,,,,
18510626,1800,,TS,28.6,-98.9,50,,,,,,,,,,,,,,
18510627,0000,,TS,29.0,-99.4,50,,,,,,,,,,,,,,
18510627,0600,,TS,29.5,-99.8,40,,,,,,,,,,,,,,
18510627,1200,,TS,30.0,-100.0,40,,,,,,,,,,,,,,
18510627,1800,,TS,30.5,-100.1,40,,,,,,,,,,,,,,
18510628,0000,,TS,31.0,-100.2,40,,,,,,,,,,,,,,
ID,Name,Tracks
AL021851,UNNAMED,1,
Date,Time,Record Identifier,Status of System,Latitude,Longitude,Max Sustained Wind [kts],Min Pressure [mbars],34kt extent NE,34kt extent SE,34kt extent SW,34kt extent NW,50kt extent NE,50kt extent SE,50kt extent SW,50kt extent NW,64kt extent NE,64kt extent SE,64kt extent SW,64kt extent NW
18510705,1200,,HU,22.2,-97.6,80,,,,,,,,,,,,,,
ID,Name,Tracks
AL031851,UNNAMED,1,
Date,Time,Record Identifier,Status of System,Latitude,Longitude,Max Sustained Wind [kts],Min Pressure [mbars],34kt extent NE,34kt extent SE,34kt extent SW,34kt extent NW,50kt extent NE,50kt extent SE,50kt extent SW,50kt extent NW,64kt extent NE,64kt extent SE,64kt extent SW,64kt extent NW
18510710,1200,,TS,12.0,-60.0,50,,,,,,,,,,,,,,
ID,Name,Tracks
AL041851,UNNAMED,49,
Date,Time,Record Identifier,Status of System,Latitude,Longitude,Max Sustained Wind [kts],Min Pressure [mbars],34kt extent NE,34kt extent SE,34kt extent SW,34kt extent NW,50kt extent NE,50kt extent SE,50kt extent SW,50kt extent NW,64kt extent NE,64kt extent SE,64kt extent SW,64kt extent NW
18510816,0000,,TS,13.4,-48.0,40,,,,,,,,,,,,,,
18510816,0600,,TS,13.7,-49.5,40,,,,,,,,,,,,,,
18510816,1200,,TS,14.0,-51.0,50,,,,,,,,,,,,,,
18510816,1800,,TS,14.4,-52.8,50,,,,,,,,,,,,,,
18510817,0000,,TS,14.9,-54.6,60,,,,,,,,,,,,,,
18510817,0600,,TS,15.4,-56.5,60,,,,,,,,,,,,,,
18510817,1200,,HU,15.9,-58.5,70,,,,,,,,,,,,,,
18510817,1800,,HU,16.1,-60.4,70,,,,,,,,,,,,,,
18510818,0000,,HU,16.6,-62.5,80,,,,,,,,,,,,,,
18510818,0600,,HU,16.9,-64.1,80,,,,,,,,,,,,,,
18510818,1200,,HU,17.2,-66.0,90,,,,,,,,,,,,,,
18510818,1800,,HU,17.6,-67.6,90,,,,,,,,,,,,,,
18510819,0000,,HU,18.0,-69.3,90,,,,,,,,,,,,,,
18510819,0600,,HU,18.4,-71.1,70,,,,,,,,,,,,,,
18510819,1200,,TS,18.9,-72.6,60,,,,,,,,,,,,,,
18510819,1800,,TS,19.4,-74.3,60,,,,,,,,,,,,,,
18510820,0000,,HU,19.9,-75.9,70,,,,,,,,,,,,,,
18510820,0600,,HU,20.5,-77.6,70,,,,,,,,,,,,,,
18510820,1200,,HU,21.2,-79.0,70,,,,,,,,,,,,,,
18510820,1800,,HU,21.9,-80.4,70,,,,,,,,,,,,,,
